"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14315","Create new Employee","tests","2026-05-21","failed","2026-05-21","TestCreateEmployee","create_employee_test","",""
"","10766","Change profile name","tests","2026-05-21","passed","2026-05-21","TestProfileFeature","feature_profile_test","",""
